,Eyetracker timestamp,Gaze point X,Gaze point Y
1,468305885.0,412.0,1037.0
3,468322494.0,305.0,1074.0
4,468330861.0,296.0,1071.0
5,468339158.0,299.0,1073.0
6,468347488.0,301.0,1076.0
7,468355827.0,378.0,1080.0
8,468364166.0,256.0,1111.0
9,468372490.0,347.0,1073.0
10,468380875.0,352.0,1070.0
12,468397555.0,364.0,1067.0
13,468405879.0,368.0,1076.0
14,468414152.0,438.0,1048.0
15,468422489.0,374.0,1078.0
16,468430826.0,364.0,1072.0
17,468439150.0,406.0,1040.0
18,468447481.0,361.0,1070.0
19,468455825.0,367.0,1072.0
20,468464148.0,423.0,1040.0
21,468472479.0,363.0,1075.0
22,468480814.0,358.0,1078.0
23,468489145.0,415.0,1045.0
24,468497478.0,372.0,1084.0
25,468505817.0,447.0,1063.0
27,468522475.0,460.0,1077.0
28,468530808.0,457.0,1081.0
29,468539143.0,474.0,1092.0
30,468547473.0,479.0,1085.0
31,468555809.0,480.0,1082.0
33,468572524.0,470.0,1085.0
34,468580804.0,470.0,1079.0
36,468597463.0,446.0,1068.0
37,468605811.0,449.0,1077.0
39,468622519.0,473.0,1081.0
41,468630835.0,468.0,1076.0
44,468647462.0,452.0,1081.0
45,468655830.0,455.0,1080.0
48,468672486.0,472.0,1075.0
50,468680796.0,473.0,1073.0
53,468697452.0,473.0,1080.0
54,468705786.0,473.0,1078.0
57,468722450.0,484.0,1068.0
59,468730786.0,488.0,1075.0
62,468747483.0,479.0,1078.0
63,468755814.0,467.0,1081.0
67,468772501.0,472.0,1084.0
68,468780782.0,472.0,1081.0
71,468797441.0,457.0,1075.0
73,468805811.0,461.0,1082.0
76,468822491.0,474.0,1088.0
77,468830815.0,428.0,1107.0
80,468847485.0,480.0,1074.0
82,468855776.0,485.0,1080.0
85,468872431.0,462.0,1078.0
86,468880772.0,459.0,1076.0
89,468897483.0,481.0,1077.0
91,468905766.0,490.0,1064.0
92,468914107.0,545.0,1016.0
94,468922479.0,571.0,978.0
95,468930769.0,679.0,872.0
97,468939093.0,760.0,864.0
98,468947482.0,823.0,818.0
100,468955797.0,855.0,747.0
102,468964087.0,863.0,746.0
103,468972433.0,864.0,748.0
105,468980794.0,860.0,752.0
106,468989088.0,862.0,742.0
108,468997474.0,858.0,742.0
109,469005765.0,861.0,740.0
111,469014147.0,860.0,749.0
112,469022414.0,856.0,747.0
114,469030820.0,856.0,749.0
115,469039080.0,857.0,751.0
117,469047413.0,857.0,747.0
118,469055789.0,859.0,742.0
120,469064079.0,864.0,746.0
121,469072416.0,859.0,737.0
122,469080746.0,869.0,751.0
124,469089116.0,859.0,736.0
125,469097465.0,857.0,737.0
127,469105743.0,856.0,738.0
128,469114125.0,864.0,746.0
130,469122456.0,866.0,745.0
131,469130751.0,864.0,746.0
133,469139072.0,866.0,744.0
134,469147437.0,863.0,748.0
136,469155736.0,861.0,743.0
138,469164066.0,863.0,738.0
139,469172453.0,862.0,737.0
141,469180744.0,865.0,734.0
142,469189064.0,863.0,731.0
144,469197452.0,865.0,731.0
145,469205734.0,861.0,737.0
147,469214071.0,858.0,738.0
148,469222392.0,861.0,743.0
150,469230799.0,867.0,736.0
151,469239127.0,863.0,743.0
153,469247399.0,870.0,736.0
154,469255740.0,867.0,740.0
156,469264108.0,855.0,726.0
157,469272387.0,874.0,721.0
159,469280727.0,851.0,637.0
161,469289113.0,873.0,614.0
162,469297386.0,854.0,543.0
165,469305728.0,853.0,526.0
166,469314091.0,852.0,528.0
168,469322424.0,845.0,524.0
169,469330760.0,845.0,526.0
171,469339099.0,848.0,531.0
172,469347454.0,854.0,536.0
174,469355712.0,851.0,535.0
176,469364052.0,848.0,528.0
177,469372434.0,850.0,529.0
179,469380764.0,849.0,519.0
180,469389085.0,849.0,514.0
182,469397428.0,848.0,515.0
183,469405767.0,856.0,530.0
185,469414037.0,856.0,536.0
186,469422432.0,853.0,534.0
188,469430714.0,848.0,533.0
189,469439105.0,847.0,524.0
191,469447369.0,855.0,545.0
192,469455774.0,858.0,536.0
193,469464071.0,855.0,527.0
195,469472373.0,855.0,523.0
